index,entity,supplier,ml_score,composite_score,tier,flags,shap_top3,legal_citations,fraud_label
0,Ministry of Finance (MoF),Omnia Strategy LLP,0.9,15.9,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.077)', 'entity_frequency decreases fraud risk (impact: 1.059)', 'award_concentration increases fraud risk (impact: 0.503)']",['S.92-93 Act 663 (Procurement Offences)'],0
1,National Petroleum Authority (NPA),Mamphey Developers Limited,1.7,13.7,🟢 MONITOR,"['Entity variation abuse rate: 33.3%', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.061)', 'entity_frequency decreases fraud risk (impact: 1.115)', 'award_concentration increases fraud risk (impact: 0.560)']",['No specific violations flagged'],0
2,National Identification Authority (NIA),Messrs Activate Africa,0.3,3.1,🟢 MONITOR,"['Entity variation abuse rate: 40.0%', '40% variation rate — elevated above normal threshold']","['supplier_risk_score decreases fraud risk (impact: 4.091)', 'supplier_frequency decreases fraud risk (impact: 1.042)', 'method_abuse_score decreases fraud risk (impact: 0.626)']",['No specific violations flagged'],0
3,Ghana National Petroleum Corporation (GNPC),Mr. David Sharp,2.7,4.1,🟢 MONITOR,['Supplier holds 33.3% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.160)', 'award_concentration increases fraud risk (impact: 1.194)', 'method_abuse_score decreases fraud risk (impact: 0.501)']",['S.3 Act 663 (Transparency and Accountability)'],0
4,Bank of Ghana,Unknown,1.0,18.4,🟢 MONITOR,"['Supplier holds 60.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 sole source contract(s) flagged by Auditor-General', '100% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 35.00 — entity under sustained scrutiny']","['entity_frequency decreases fraud risk (impact: 1.928)', 'supplier_risk_score decreases fraud risk (impact: 1.722)', 'award_concentration decreases fraud risk (impact: 0.531)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
5,Petroleum Commission,Messrs KS Konsult Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
6,NHIA,Messrs Zoomlion Ghana Ltd,0.4,9.2,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier appears in 1 Auditor-General finding(s)', '100% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 1.00 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 3.947)', 'award_concentration decreases fraud risk (impact: 1.187)', 'entity_frequency increases fraud risk (impact: 0.741)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
7,Ghana Revenue Authority (GRA),Messrs Digital INNOVA Ghana Ltd,0.5,9.2,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 sole source contract(s) flagged by Auditor-General', '80% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 12.80 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.219)', 'entity_frequency decreases fraud risk (impact: 0.774)', 'supplier_frequency decreases fraud risk (impact: 0.707)']",['S.92-93 Act 663 (Procurement Offences)'],0
8,Social Security and National Insurance Trust (SSNIT),IBM Ghana Limited,0.7,0.3,🟢 MONITOR,['No specific flags raised'],"['supplier_risk_score decreases fraud risk (impact: 3.980)', 'entity_frequency decreases fraud risk (impact: 1.289)', 'award_concentration increases fraud risk (impact: 0.566)']",['No specific violations flagged'],0
9,Korle Bu Teaching Hospital (KBTH),Unknown,3.1,18.2,🟢 MONITOR,"['Supplier holds 57.1% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '42% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.43 — pattern of procurement rule circumvention', '85% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['entity_frequency decreases fraud risk (impact: 2.064)', 'supplier_risk_score decreases fraud risk (impact: 1.548)', 'method_abuse_score increases fraud risk (impact: 0.531)']","['S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
10,University of Ghana (UG),Road Safety and Transportation Consultancy Ltd (R,0.4,6.2,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '66% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 2.22 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.153)', 'entity_frequency decreases fraud risk (impact: 1.057)', 'supplier_frequency decreases fraud risk (impact: 0.636)']",['S.92-93 Act 663 (Procurement Offences)'],0
11,Social Security and National Insurance Trust (SSNIT),Unknown,5.6,11.2,🟢 MONITOR,"['Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)']","['entity_frequency decreases fraud risk (impact: 1.647)', 'supplier_risk_score decreases fraud risk (impact: 1.598)', 'award_concentration increases fraud risk (impact: 0.698)']",['No specific violations flagged'],0
12,National Identification Authority (NIA),Messrs. Metro Mass Transit Ltd,0.3,3.1,🟢 MONITOR,"['Entity variation abuse rate: 40.0%', '40% variation rate — elevated above normal threshold']","['supplier_risk_score decreases fraud risk (impact: 4.091)', 'supplier_frequency decreases fraud risk (impact: 1.042)', 'method_abuse_score decreases fraud risk (impact: 0.626)']",['No specific violations flagged'],0
